Darstellung	N	изображе́ние nt, изложе́ние nt		f		<-, -en>
dass	CONJ	что, то, что				
Datei	N	файл m		f		<-, -en>
Datum	N	да́та f		nt		<-s, -Daten>
Daten	N	да́нные pl				<->
dauern	VB	продолжа́ться, дли́ться	intr		perf	
Dauer	N	продолжи́тельность f		f		<->
dauernd	ADJ	продолжи́тельный, постоя́нный				
Decke	N	одея́ло nt, покрыва́ло nt		f		<-, -n>
dekorieren	VB	декори́ровать (н)perf, украша́ть	trans		(н)perf	
denken	VB	ду́мать, по- perf	intr		dachte, gedacht	
Gedanke	N	мысль f		m		<-n, -n>
Denkmal	N	па́мятник m		nt		<-s, Denkmäler>
denn	CONJ	так как, потому́ что				
derselbe	PRON	тот же са́мый			dem	
deshalb	ADV	поэ́тому, потому́				
Dessert	N	десе́рт m		nt		<-s, -s>
deswegen	ADV	поэ́тому, по э́той причи́не				
Detail	N	дета́ль f, подро́бность f		nt		<-s, -s>
deutlich	ADJ	я́сный, чёткий				
Diät	N	дие́та f		f		<-, -en>
Dialekt	N	диале́кт m		m		<-(e)s, -e>
Dialog	N	диало́г m		m		<-(e)s, -e>
dicht	ADJ	густо́й, пло́тный				
dick	ADJ	то́лстый, по́лный				
dienen	VB	служи́ть, по- imperf	intr		imperf	
Dienst	N	слу́жба f, рабо́та f		m		<-es, -e>
diesmal	ADV	на э́тот раз				
digital	ADJ	цифрово́й				
Ding	N	вещь f, предме́т m		nt		<-(e)s, -e>
Diplom	N	дипло́м m, свиде́тельство nt		nt		<-(e)s, -e>
direkt	ADJ	прямо́й, непосре́дственный				
Diskothek	N	дискоте́ка f		f		<-, -en>
diskutieren	VB	дискути́ровать imperf	trans		imperf	
Diskussion	N	диску́ссия f		f		<-, -en>
Distanz	N	диста́нция f, расстоя́ние nt		f		<-, -en>
doch	CONJ	одна́ко				
Dokument	N	докуме́нт m		nt		<-(e)s, -e>
donnern	VB	громыха́ть	intr		perf	
Donner	N	гром m		m		<-s>
doppelt	ADJ	двойно́й, двоя́кий				
Doppel	N	дублика́т m, па́рная игра́ f		nt		<-s, ->
Dorf	N	дере́вня f, село́ nt		nt		<-(e)s, Dörfer>
dort	ADV	там				
dorthin	ADV	туда́				
draußen	ADV	снару́жи, на дворе́				
draußen	ADV	на у́лице				
Dreck	N	грязь f		m		<-(e)s>
drehen	VB	повора́чивать	trans		perf	
dringend	ADJ	сро́чный, неотло́жный				
Droge	N	нарко́тик m		f		<-, -n>
Drogerie	N	магази́н  m  парфюме́рно-галантере́йных и аптека́рских това́ров		f		<-, -n>
drüben	ADV	там, по ту сто́рону, напро́тив				
drucken	VB	печа́тать, на- perf	trans		perf	
Drucker	N	печа́тник m, печа́тающее устро́йство nt, при́нтер m		m		<-, -s>
drücken	VB	нажима́ть, нажа́ть perf	trans		perf	
Druck	N	давле́ние nt		m		<-(e)s, Drücke>
Druck	N	печа́ть f, печа́тание nt		m		<-(e)s, -e>
dumm	ADJ	глу́пый				
dunkel	ADJ	темно́				
dünn	ADJ	то́нкий				
durch	PREP	че́рез, сквозь				
durcheinander	ADV	впереме́шку, как попа́ло				
Durchsage	N	сообще́ние  nt  (по ра́дио, телефо́ну)		f		<-, -en>
Durchschnitt	N	разре́з m, проре́з m		m		<-(e)s, -e>
durchschnittlich	ADJ	сре́дний				
dürfen	VB	мочь, смочь perf	intr		durfte, gedurft	
Durst	N	жа́жда f		m		<-(e)s>
durstig	ADJ	жа́ждущий				
Dusche	N	душ m		f		<-, -n>
duzen	VB	быть с кем-ли́бо на ра́вных	trans			
eben	ADJ	пло́ский				
ebenfalls	ADV	та́кже, то́же				
ebenso	ADV	так же, таки́м же о́бразом				
echt	ADJ	настоя́щий, по́длинный				
Ecke	N	у́гол m		f		<-, -n>
eckig	ADJ	с угла́ми, углова́тый				
egal	ADJ	безразли́чный				
Ehe	N	брак m, супру́жество nt		f		<-, -n>
Ehefrau	N	супру́га f, жена́ f		f		<-, -en>
Ehemann	N	супру́г m, муж m		m		<-(e)s, -männer>
eher	ADV	ра́ньше				
ehrlich	ADJ	че́стный				
Ei	N	яйцекле́тка f, яйцо́ nt		nt		<-s, -er>
eigen	ADJ	со́бственный				
eigentlich	ADJ	со́бственный, настоя́щий				
eigentlich	ADV	1) собственно (говоря), в сущности, 2) на самом деле, в действительности				
eilen	VB	спеши́ть, по- perf	intr		perf	
Eile	N	поспе́шность f, спе́шка f		f		<->
eilig	ADJ	спе́шный				
ein	ADV					
